book_id,title,extracted_saint,sinksar_dates,tselot_dates,missing_in_tselot,extra_in_tselot,question
AM-GDL-010,ገድለ ሰማዕታት በአማርኛ,ሰማዕታት,"[(7, 20), (8, 26)]","[(3, 4), (6, 12)]","[(7, 20), (8, 26)]","[(3, 4), (6, 12)]","ሰማዕታት in Sinksar on [(7, 20), (8, 26)] but in App DB on [(3, 4), (6, 12)] - which correct?"
AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,ቅዱስ ዮሐንስ ገድል,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","ቅዱስ ዮሐንስ ገድል in Sinksar on [(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)] but in App DB on [(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)] - which correct?"
AM-GDL-014,የአቡነ እስትንፋሰ ክርስቶስ ገድል በአማርኛ,አቡነ እስትንፋሰ ክርስቶስ ገድል,"[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (7, 9), (9, 9), (10, 9), (11, 9), (12, 9)]","[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]",[],"[(6, 9), (8, 9)]","አቡነ እስትንፋሰ ክርስቶስ ገድል in Sinksar on OK but in App DB on [(6, 9), (8, 9)] - which correct?"
AM-GDL-015,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በአማርኛ,ሰማዕት ቅዱስ መርቆሬዎስ,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]","ሰማዕት ቅዱስ መርቆሬዎስ in Sinksar on [(3, 30), (7, 1)] but in App DB on [(5, 25), (11, 25)] - which correct?"
AM-GDL-018,ገድለ ቅዱስ ጊዮርጊስ ሰማዕት በአማርኛ,ጊዮርጊስ ሰማዕት,"[(5, 4)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","[(5, 4)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","ጊዮርጊስ ሰማዕት in Sinksar on [(5, 4)] but in App DB on [(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)] - which correct?"
AM-GDL-020,ገድለ እምነ ወለተ ጴጥሮስ በአማርኛ,እምነ ወለተ ጴጥሮስ,"[(6, 9)]","[(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]","[(6, 9)]","[(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]","እምነ ወለተ ጴጥሮስ in Sinksar on [(6, 9)] but in App DB on [(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)] - which correct?"
AM-GDL-022,የመባዓ ጽዮን ገድል በአማርኛ,መባዓ ጽዮን ገድል,"[(2, 27), (3, 27), (4, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]","መባዓ ጽዮን ገድል in Sinksar on OK but in App DB on [(1, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)] - which correct?"
AM-GDL-023,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,ቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል,"[(4, 15)]","[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)]",[],"[(1, 15), (2, 15), (3, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)]","ቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል in Sinksar on OK but in App DB on [(1, 15), (2, 15), (3, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)] - which correct?"
AM-GDL-025,ገድለ ቅዱስ ዞሲማስ በአማርኛ,ዞሲማስ,"[(3, 9), (4, 9), (5, 9)]","[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]",[],"[(1, 9), (2, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]","ዞሲማስ in Sinksar on OK but in App DB on [(1, 9), (2, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)] - which correct?"
AM-GDL-027,ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,እጨጌ ዮሐንስ ዘጸገሮ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","እጨጌ ዮሐንስ ዘጸገሮ in Sinksar on [(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)] but in App DB on [(11, 29)] - which correct?"
AM-GDL-028,ገድለ አቡነ አሮን መንክራዊ በአማርኛ,አሮን መንክራዊ,"[(1, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]","አሮን መንክራዊ in Sinksar on OK but in App DB on [(2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)] - which correct?"
AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,ፊቅጦር,"[(4, 5), (5, 21), (5, 27), (6, 27), (7, 27)]","[(1, 27), (2, 27), (3, 27), (4, 5), (4, 27), (5, 27), (6, 13), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]","[(5, 21)]","[(1, 27), (2, 27), (3, 27), (4, 27), (6, 13), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]","ፊቅጦር in Sinksar on [(5, 21)] but in App DB on [(1, 27), (2, 27), (3, 27), (4, 27), (6, 13), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)] - which correct?"
AM-GDL-030,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በአማርኛ,ሰማዕት ቅዱስ ቴዎድሮስ,"[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","ሰማዕት ቅዱስ ቴዎድሮስ in Sinksar on [(4, 11), (7, 21), (10, 6)] but in App DB on [(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)] - which correct?"
AM-LAH-001,ላሐ ማርያም በአማርኛ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","ማርያም in Sinksar on [(2, 30), (8, 30)] but in App DB on [(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)] - which correct?"
AM-MEL-005,መልክዐ መቃርዮስ በአማርኛ,መቃርዮስ,"[(6, 4)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 8), (5, 27), (6, 27), (7, 13), (7, 27), (8, 27), (9, 27), (10, 27), (11, 14), (11, 27), (12, 19), (12, 27)]","[(6, 4)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 8), (5, 27), (6, 27), (7, 13), (7, 27), (8, 27), (9, 27), (10, 27), (11, 14), (11, 27), (12, 19), (12, 27)]","መቃርዮስ in Sinksar on [(6, 4)] but in App DB on [(1, 27), (2, 27), (3, 27), (4, 27), (5, 8), (5, 27), (6, 27), (7, 13), (7, 27), (8, 27), (9, 27), (10, 27), (11, 14), (11, 27), (12, 19), (12, 27)] - which correct?"
AM-MEL-008,መልክዐ ማርያም ሣልሲት በአማርኛ,ማርያም ሣልሲት,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","ማርያም ሣልሲት in Sinksar on [(2, 30), (8, 30)] but in App DB on [(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)] - which correct?"
AM-MEL-009,መልክዐ ማርያም በአማርኛ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","ማርያም in Sinksar on [(2, 30), (8, 30)] but in App DB on [(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)] - which correct?"
AM-MEL-015,መልክዐ ቅዱስ ቂርቆስ በአማርኛ,ቂርቆስ,"[(4, 15)]","[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)]",[],"[(1, 15), (2, 15), (3, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)]","ቂርቆስ in Sinksar on OK but in App DB on [(1, 15), (2, 15), (3, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)] - which correct?"
AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,ዮሐንስ ወንጌላዊ,"[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (9, 16), (11, 27)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",[],"[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4)]","ዮሐንስ ወንጌላዊ in Sinksar on OK but in App DB on [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4)] - which correct?"
AM-MEL-017,መልክዐ ቅድስት ጸበለ ማርያም በአማርኛ,ጸበለ ማርያም,"[(2, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(1, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","ጸበለ ማርያም in Sinksar on OK but in App DB on [(1, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)] - which correct?"
AM-MEL-018,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,ፍቅርተ ክርስቶስ,"[(7, 29)]","[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (7, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]",[],"[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]","ፍቅርተ ክርስቶስ in Sinksar on OK but in App DB on [(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)] - which correct?"
AM-MEL-020,መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ,ዕጨጌ ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","ዕጨጌ ዮሐንስ in Sinksar on [(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)] but in App DB on [(11, 29)] - which correct?"
AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,ዮሐንስ ጻድቅ,"[(1, 16), (2, 16), (9, 7), (11, 16), (12, 16)]","[(1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (5, 20), (6, 16), (7, 16), (8, 16), (9, 7), (9, 16), (10, 16), (11, 16), (12, 16)]",[],"[(3, 16), (4, 16), (5, 16), (5, 20), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16)]","ዮሐንስ ጻድቅ in Sinksar on OK but in App DB on [(3, 16), (4, 16), (5, 16), (5, 20), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16)] - which correct?"
AM-MEL-022,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,አብርሃም ይሥሐቅ ያዕቆብ,"[(12, 28)]","[(1, 28), (2, 28), (3, 28), (4, 28), (5, 28), (6, 28), (7, 28), (8, 28), (9, 28), (10, 28), (11, 28), (12, 24), (12, 28)]",[],"[(1, 28), (2, 28), (3, 28), (4, 28), (5, 28), (6, 28), (7, 28), (8, 28), (9, 28), (10, 28), (11, 28), (12, 24)]","አብርሃም ይሥሐቅ ያዕቆብ in Sinksar on OK but in App DB on [(1, 28), (2, 28), (3, 28), (4, 28), (5, 28), (6, 28), (7, 28), (8, 28), (9, 28), (10, 28), (11, 28), (12, 24)] - which correct?"
AM-MEL-027,መልክዐ ኪዳነ ምሕረት በአማርኛ,ኪዳነ ምሕረት,"[(1, 16), (2, 16), (3, 16), (4, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16)]","[(1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16)]",[],"[(5, 16)]","ኪዳነ ምሕረት in Sinksar on OK but in App DB on [(5, 16)] - which correct?"
AM-MEL-033,የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ,ሐዋርያው የቅዱስ ታዴዎስ መልክዕ,"[(5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 29), (12, 2)]",[],"[(1, 2), (2, 2), (3, 2), (4, 2), (11, 2), (11, 29), (12, 2)]","ሐዋርያው የቅዱስ ታዴዎስ መልክዕ in Sinksar on OK but in App DB on [(1, 2), (2, 2), (3, 2), (4, 2), (11, 2), (11, 29), (12, 2)] - which correct?"
